	th1_ko1.cel	th1_ko2.cel	th1_ko3.cel	th1_wt1.cel	th1_wt2.cel	th1_wt3.cel
1415670_at	9.67863452353438	9.71005735670959	9.59471824303936	9.72116380875146	9.71225448664867	9.68790498556909
1415671_at	8.87297551377777	8.86534154387417	8.90409039252725	8.85496799820788	8.94621723109809	8.96608463489894
1415672_at	10.3543952185355	10.3180610742353	10.2226775435251	10.4696794420978	10.5565385275781	10.4365305817154
1415673_at	10.2291003811289	10.3189355599972	9.89903371616943	10.0528139443743	9.86936913260264	9.97467417005684
1415674_a_at	10.3920368887854	10.4016605465726	10.4425841923085	10.3521826836706	10.1489184619897	10.3214306394678
1415675_at	9.10445775690908	8.97282940108523	8.88929411676826	8.97504422398464	8.893407706109	8.99781981992766
1415676_a_at	11.5862777490227	11.6035581121537	11.5267211870759	11.5703096197599	11.5216706761776	11.517430970272
1415677_at	8.50851193775028	8.28499423054363	8.08018569116749	8.46563973571308	8.45204388294033	8.33767293333845
1415678_at	9.27404412433152	9.43803031045938	9.42903619098849	9.28201213410109	9.27018723358741	9.37373121995373
1415679_at	10.8437941039237	10.7632961138934	10.8508036285419	10.9210172649583	10.9499075421055	11.0189539904135
1415680_at	10.0202995296265	10.1491302310616	10.0327556514274	9.9948785515402	9.97585960853418	9.90047773955865
1415681_at	10.0276955050467	10.0606170023754	10.1163626206246	9.93787727664706	9.9050614004888	9.92211015033322
1415682_at	8.59734693781276	8.76916725153278	8.76191064013341	8.44162051502782	8.43084951054544	8.61473222433151
1415683_at	11.0253972817103	11.1075962694201	11.0899563462551	10.9272390852072	10.954723963016	10.9008213734788
1415684_at	7.57889528390691	7.65026990410792	7.61694176133428	7.73006533344339	7.48661535193609	7.57799475768318
1415685_at	8.41583610942953	8.51634362048	8.42959016933324	8.6157071799707	8.43289388259484	8.55382181182178
1415686_at	8.07382057216695	8.32400144738533	8.17729378235433	8.25627873979202	8.11972635612888	8.28223257382339
1415687_a_at	9.11683364159597	8.94908894816451	8.869057948388	8.97812663908381	9.03203582186196	8.974347846288
1415688_at	9.53531772274845	9.5297001225154	9.46787991267951	9.46724863568235	9.42423579167933	9.45215135564254
1415689_s_at	7.54322782308796	7.57705818128321	7.55618784814049	7.53609646075679	7.45145076579277	7.40196639030754
1415690_at	10.044464456613	10.0573856138415	10.1455141004451	10.0175642008006	9.91822091204068	9.9376401507601
1415691_at	8.00333211939569	8.40766037044092	8.13424427862849	8.01948410094386	7.95137790482861	7.96955701277088
1415692_s_at	11.3845615000287	11.4027197788518	11.3681177777076	11.3774188412191	11.4265516448885	11.4214009581566
1415693_at	8.62746560602973	8.73668542063358	8.65684447933907	8.69687194683562	8.79353090559136	8.72997834407037
1415694_at	8.75717611349761	8.80284299976346	8.8233573327495	8.7144559461482	8.68401092581738	8.6718866700475
1415695_at	11.7473948226829	11.7520515764042	11.6185579043653	11.7013437528371	11.6527788615527	11.7043061499172
1415696_at	9.68538088488177	9.74669849646294	9.59304898756006	9.67703818153047	9.60257122360363	9.6746551871477
1415697_at	10.1427046170432	10.0300125282223	10.0678484166115	10.136004825241	10.1438897000995	10.0908512647187
1415698_at	7.63356002616881	7.67147311728383	7.58225828601816	7.42084397030605	7.60219769067613	7.47520575930456
1415699_a_at	10.7401752526686	10.789411379977	10.8219224296278	10.5242797125913	10.5352448400798	10.5514632398465
